"locale","region","date","description","type","notes"
"fr-LU","","2021-01-01","Nouvel An","NF",""
"fr-LU","","2021-04-04","Pâques","NF",""
"fr-LU","","2021-04-05","Lundi de Pâques","NF",""
"fr-LU","","2021-05-01","Premier Mai","NF",""
"fr-LU","","2021-05-09","Journée de l'Europe","NF",""
"fr-LU","","2021-05-13","Ascension","NF",""
"fr-LU","","2021-05-23","Pentecôte","NF",""
"fr-LU","","2021-05-24","Lundi de Pentecôte","NF",""
"fr-LU","","2021-06-23","Fête nationale","NF",""
"fr-LU","","2021-08-15","Assomption","NRF",""
"fr-LU","","2021-11-01","Toussaint","NRF",""
"fr-LU","","2021-12-25","Noël","NRF",""
"fr-LU","","2021-12-26","Saint Étienne","NRF",""
