"locale","region","date","description","type","notes"
"tr-TR","","2027-01-01","Yılbaşı","NF",""
"tr-TR","","2027-03-09","Ramazan Bayramı (1. Gün)","NRV",""
"tr-TR","","2027-03-10","Ramazan Bayramı (2. Gün)","NRV",""
"tr-TR","","2027-03-11","Ramazan Bayramı (3. Gün)","NRV",""
"tr-TR","","2027-04-23","Ulusal Egemenlik ve Çocuk Bayramı","NF",""
"tr-TR","","2027-05-01","Emek ve Dayanışma Günü","NF",""
"tr-TR","","2027-05-16","Kurban Bayramı (1. Gün)","NRV",""
"tr-TR","","2027-05-17","Kurban Bayramı (2. Gün)","NRV",""
"tr-TR","","2027-05-18","Kurban Bayramı (3. Gün)","NRV",""
"tr-TR","","2027-05-19","Atatürk'ü Anma, Gençlik ve Spor Bayramı","NF",""
"tr-TR","","2027-05-19","Kurban Bayramı (4. Gün)","NRV",""
"tr-TR","","2027-07-15","Demokrasi ve Milli Birlik Günü","NF",""
"tr-TR","","2027-08-30","Zafer Bayramı","NF",""
"tr-TR","","2027-10-29","Cumhuriyet Bayramı","NF",""
