"locale","region","date","description","type","notes"
"tr-TR","","2021-01-01","Yılbaşı","NF",""
"tr-TR","","2021-04-23","Ulusal Egemenlik ve Çocuk Bayramı","NF",""
"tr-TR","","2021-05-01","Emek ve Dayanışma Günü","NF",""
"tr-TR","","2021-05-13","Ramazan Bayramı (1. Gün)","NRV",""
"tr-TR","","2021-05-14","Ramazan Bayramı (2. Gün)","NRV",""
"tr-TR","","2021-05-15","Ramazan Bayramı (3. Gün)","NRV",""
"tr-TR","","2021-05-19","Atatürk'ü Anma, Gençlik ve Spor Bayramı","NF",""
"tr-TR","","2021-07-15","Demokrasi ve Milli Birlik Günü","NF",""
"tr-TR","","2021-07-20","Kurban Bayramı (1. Gün)","NRV",""
"tr-TR","","2021-07-21","Kurban Bayramı (2. Gün)","NRV",""
"tr-TR","","2021-07-22","Kurban Bayramı (3. Gün)","NRV",""
"tr-TR","","2021-07-23","Kurban Bayramı (4. Gün)","NRV",""
"tr-TR","","2021-08-30","Zafer Bayramı","NF",""
"tr-TR","","2021-10-29","Cumhuriyet Bayramı","NF",""
