"locale","region","date","description","type","notes"
"tr-TR","","2025-01-01","Yılbaşı","NF",""
"tr-TR","","2025-03-30","Ramazan Bayramı (1. Gün)","NRV",""
"tr-TR","","2025-03-31","Ramazan Bayramı (2. Gün)","NRV",""
"tr-TR","","2025-04-01","Ramazan Bayramı (3. Gün)","NRV",""
"tr-TR","","2025-04-23","Ulusal Egemenlik ve Çocuk Bayramı","NF",""
"tr-TR","","2025-05-01","Emek ve Dayanışma Günü","NF",""
"tr-TR","","2025-05-19","Atatürk'ü Anma, Gençlik ve Spor Bayramı","NF",""
"tr-TR","","2025-06-06","Kurban Bayramı (1. Gün)","NRV",""
"tr-TR","","2025-06-07","Kurban Bayramı (2. Gün)","NRV",""
"tr-TR","","2025-06-08","Kurban Bayramı (3. Gün)","NRV",""
"tr-TR","","2025-06-09","Kurban Bayramı (4. Gün)","NRV",""
"tr-TR","","2025-07-15","Demokrasi ve Milli Birlik Günü","NF",""
"tr-TR","","2025-08-30","Zafer Bayramı","NF",""
"tr-TR","","2025-10-29","Cumhuriyet Bayramı","NF",""
