"locale","region","date","description","type","notes"
"hr-HR","","2020-01-01","Nova Godina","NF",""
"hr-HR","","2020-01-06","Bogojavljenje","NRF",""
"hr-HR","","2020-04-12","Uskrs","NRV",""
"hr-HR","","2020-04-13","Uskrsni ponedjeljak","NRV",""
"hr-HR","","2020-05-01","Praznik rada","NF",""
"hr-HR","","2020-06-11","Tijelovo","NRV",""
"hr-HR","","2020-06-22","Dan antifašističke borbe","NF",""
"hr-HR","","2020-06-25","Dan državnosti","NF",""
"hr-HR","","2020-08-05","Dan pobjede i domovinske zahvalnosti i Dan hrvatskih branitelja","NF",""
"hr-HR","","2020-08-15","Velika Gospa","NRF",""
"hr-HR","","2020-10-08","Dan neovisnosti","NF",""
"hr-HR","","2020-11-01","Svi sveti","NRF",""
"hr-HR","","2020-11-18","Dan sjećanja na žrtve Domovinskog rata i Dan sjećanja na žrtvu Vukovara i Škabrnje","NF",""
"hr-HR","","2020-12-25","Božić","NRF",""
"hr-HR","","2020-12-26","Sveti Stjepan","NRF",""
