"locale","region","date","description","type","notes"
"nl-NL","","2027-01-01","Nieuwjaarsdag","NF",""
"nl-NL","","2027-03-26","Goede Vrijdag","NRV",""
"nl-NL","","2027-03-28","Eerste Paasdag","NRV",""
"nl-NL","","2027-03-29","Tweede Paasdag","NRV",""
"nl-NL","","2027-04-27","Koningsdag","NV",""
"nl-NL","","2027-05-04","Dodenherdenking","NF",""
"nl-NL","","2027-05-05","Bevrijdingsdag","NF",""
"nl-NL","","2027-05-06","Hemelvaartsdag","NRV",""
"nl-NL","","2027-05-16","Eerste Pinksterdag","NRV",""
"nl-NL","","2027-05-17","Tweede Pinksterdag","NRV",""
"nl-NL","","2027-12-05","Sinterklaas","NRF",""
"nl-NL","","2027-12-15","Koninkrijksdag","NV",""
"nl-NL","","2027-12-25","Eerste Kerstdag","NRF",""
"nl-NL","","2027-12-26","Tweede Kerstdag","NRF",""
