"locale","region","date","description","type","notes"
"et-EE","","2021-01-01","Uusaasta","NF",""
"et-EE","","2021-02-24","Iseseisvuspäev, Eesti Vabariigi aastapäev","NF",""
"et-EE","","2021-04-02","Suur reede","NRV",""
"et-EE","","2021-04-04","Ülestõusmispühade 1. püha","NRV",""
"et-EE","","2021-05-01","Kevadpüha","NF",""
"et-EE","","2021-05-23","Nelipühade 1. püha","NRV",""
"et-EE","","2021-06-23","Võidupüha","NF",""
"et-EE","","2021-06-24","Jaanipäev","NF",""
"et-EE","","2021-08-20","Taasiseseisvumispäev","NF",""
"et-EE","","2021-12-24","Jõululaupäev","NF",""
"et-EE","","2021-12-25","Esimene jõulupüha","NF",""
"et-EE","","2021-12-26","Teine jõulupüha","NF",""
