# Locale,  Region, Date,         Description,          Type, Notes.

"fr-BE", "", "2014-05-01", "Fête du Travail",     "NF",  ""
"fr-BE", "", "2014-05-29", "Ascension",           "NRV", ""
"fr-BE", "", "2014-06-08", "Pentecôte",           "NRV", ""
"fr-BE", "", "2014-06-09", "Lundi de Pentecôte",  "NRV", ""
"fr-BE", "", "2014-07-21", "Fête nationale",      "NF",  ""
"fr-BE", "", "2014-08-15", "Assomption",          "NRF", ""
"fr-BE", "", "2014-11-01", "Toussaint",           "NRF", ""
"fr-BE", "", "2014-11-11", "Jour de l'armistice", "NF",  ""
"fr-BE", "", "2014-12-25", "Noël",                "NRF", ""

"fr-BE", "", "2015-01-01", "Nouvel An",           "NF",  ""
"fr-BE", "", "2015-04-05", "Pâques",              "NRV", ""
"fr-BE", "", "2015-04-06", "Lundi de Pâques",     "NRV", ""
"fr-BE", "", "2015-05-01", "Fête du Travail",     "NF",  ""
"fr-BE", "", "2015-05-14", "Ascension",           "NRV", ""
"fr-BE", "", "2015-05-24", "Pentecôte",           "NRV", ""
"fr-BE", "", "2015-05-25", "Lundi de Pentecôte",  "NRV", ""
"fr-BE", "", "2015-07-21", "Fête nationale",      "NF",  ""
"fr-BE", "", "2015-08-15", "Assomption",          "NRF", ""
"fr-BE", "", "2015-11-01", "Toussaint",           "NRF", ""
"fr-BE", "", "2015-11-11", "Jour de l'armistice", "NF",  ""
"fr-BE", "", "2015-12-25", "Noël",                "NRF", ""

"fr-BE", "", "2016-01-01", "Nouvel An",           "NF",  ""
"fr-BE", "", "2016-05-27", "Pâques",              "NRV", ""
"fr-BE", "", "2016-05-28", "Lundi de Pâques",     "NRV", ""
"fr-BE", "", "2016-05-01", "Fête du Travail",     "NF",  ""
"fr-BE", "", "2016-05-05", "Ascension",           "NRV", ""
"fr-BE", "", "2016-05-15", "Pentecôte",           "NRV", ""
"fr-BE", "", "2016-05-16", "Lundi de Pentecôte",  "NRV", ""
"fr-BE", "", "2016-07-21", "Fête nationale",      "NF",  ""
"fr-BE", "", "2016-08-15", "Assomption",          "NRF", ""
"fr-BE", "", "2016-11-01", "Toussaint",           "NRF", ""
"fr-BE", "", "2016-11-11", "Jour de l'armistice", "NF",  ""
"fr-BE", "", "2016-12-25", "Noël",                "NRF", ""

"de-BE", "", "2012-01-01", "Neujahr",             "NF",  ""
"de-BE", "", "2012-04-08", "Ostern",              "NRV", ""
"de-BE", "", "2012-04-09", "Ostermontag",         "NRV", ""
"de-BE", "", "2012-05-01", "Tag der Arbeit",      "NF",  ""
"de-BE", "", "2012-05-17", "Christi Himmelfahrt", "NRV", ""
"de-BE", "", "2012-05-27", "Pfingsten",           "NRV", ""
"de-BE", "", "2012-05-28", "Pfingstmontag",       "NRV", ""
"de-BE", "", "2012-07-21", "Nationalfeiertag",    "NF",  ""
"de-BE", "", "2012-08-15", "Mariä Himmelfahrt",   "NRF", ""
"de-BE", "", "2012-11-01", "Allerheiligen",       "NRF", ""
"de-BE", "", "2012-11-11", "Waffenstillstand",    "NF",  ""
"de-BE", "", "2012-12-25", "Weihnacht",           "NRF", ""

"de-BE", "", "2013-01-01", "Neujahr",             "NF",  ""
"de-BE", "", "2013-03-31", "Ostern",              "NRV", ""
"de-BE", "", "2013-04-01", "Ostermontag",         "NRV", ""
"de-BE", "", "2013-05-01", "Tag der Arbeit",      "NF",  ""
"de-BE", "", "2013-05-09", "Christi Himmelfahrt", "NRV", ""
"de-BE", "", "2013-05-19", "Pfingsten",           "NRV", ""
"de-BE", "", "2013-05-20", "Pfingstmontag",       "NRV", ""
"de-BE", "", "2013-07-21", "Nationalfeiertag",    "NF",  ""
"de-BE", "", "2013-08-15", "Mariä Himmelfahrt",   "NRF", ""
"de-BE", "", "2013-11-01", "Allerheiligen",       "NRF", ""
"de-BE", "", "2013-11-11", "Waffenstillstand",    "NF",  ""
"de-BE", "", "2013-12-25", "Weihnacht",           "NRF", ""

"de-BE", "", "2014-01-01", "Neujahr",             "NF",  ""
"de-BE", "", "2014-04-20", "Ostern",              "NRV", ""
"de-BE", "", "2014-04-21", "Ostermontag",         "NRV", ""
"de-BE", "", "2014-05-01", "Tag der Arbeit",      "NF",  ""
"de-BE", "", "2014-05-29", "Christi Himmelfahrt", "NRV", ""
"de-BE", "", "2014-06-08", "Pfingsten",           "NRV", ""
"de-BE", "", "2014-06-09", "Pfingstmontag",       "NRV", ""
"de-BE", "", "2014-07-21", "Nationalfeiertag",    "NF",  ""
"de-BE", "", "2014-08-15", "Mariä Himmelfahrt",   "NRF", ""
"de-BE", "", "2014-11-01", "Allerheiligen",       "NRF", ""
"de-BE", "", "2014-11-11", "Waffenstillstand",    "NF",  ""
"de-BE", "", "2014-12-25", "Weihnacht",           "NRF", ""

"de-BE", "", "2015-01-01", "Neujahr",             "NF",  ""
"de-BE", "", "2015-04-05", "Ostern",              "NRV", ""
"de-BE", "", "2015-04-06", "Ostermontag",         "NRV", ""
"de-BE", "", "2015-05-01", "Tag der Arbeit",      "NF",  ""
"de-BE", "", "2015-05-14", "Christi Himmelfahrt", "NRV", ""
"de-BE", "", "2015-05-24", "Pfingsten",           "NRV", ""
"de-BE", "", "2015-05-25", "Pfingstmontag",       "NRV", ""
"de-BE", "", "2015-07-21", "Nationalfeiertag",    "NF",  ""
"de-BE", "", "2015-08-15", "Mariä Himmelfahrt",   "NRF", ""
"de-BE", "", "2015-11-01", "Allerheiligen",       "NRF", ""
"de-BE", "", "2015-11-11", "Waffenstillstand",    "NF",  ""
"de-BE", "", "2015-12-25", "Weihnacht",           "NRF", ""

"de-BE", "", "2016-01-01", "Neujahr",             "NF",  ""
"de-BE", "", "2016-05-27", "Ostern",              "NRV", ""
"de-BE", "", "2016-05-28", "Ostermontag",         "NRV", ""
"de-BE", "", "2016-05-01", "Tag der Arbeit",      "NF",  ""
"de-BE", "", "2016-05-05", "Christi Himmelfahrt", "NRV", ""
"de-BE", "", "2016-05-15", "Pfingsten",           "NRV", ""
"de-BE", "", "2016-05-16", "Pfingstmontag",       "NRV", ""
"de-BE", "", "2016-07-21", "Nationalfeiertag",    "NF",  ""
"de-BE", "", "2016-08-15", "Mariä Himmelfahrt",   "NRF", ""
"de-BE", "", "2016-11-01", "Allerheiligen",       "NRF", ""
"de-BE", "", "2016-11-11", "Waffenstillstand",    "NF",  ""
"de-BE", "", "2016-12-25", "Weihnacht",           "NRF", ""

