# Locale,  Region, Date,         Description,                                      Type,  Notes
"cs-CZ", "", "2017-01-01", "Den obnovy samostatnosti českého státu",         "NF",  ""
"cs-CZ", "", "2017-04-17", "Velikonoční pondělí",                            "NRV", ""
"cs-CZ", "", "2017-05-01", "Svátek práce",                                   "NF",  ""
"cs-CZ", "", "2017-05-08", "Den vítězství",                                  "NF",  ""
"cs-CZ", "", "2017-07-05", "Den slovanských věrozvěstů",                     "NRF", ""
"cs-CZ", "", "2017-07-06", "Den upálení mistra Jana Husa",                   "NRF", ""
"cs-CZ", "", "2017-09-28", "Den české státnosti",                            "NRF", ""
"cs-CZ", "", "2017-10-28", "Den vzniku samostatného československého státu", "NF",  ""
"cs-CZ", "", "2017-11-17", "Den boje za svobodu a demokracii",               "NF",  ""
"cs-CZ", "", "2017-12-24", "Štědrý den",                                     "NRF", ""
"cs-CZ", "", "2017-12-25", "1. svátek vánoční",                              "NRF", ""
"cs-CZ", "", "2017-12-26", "2. svátek vánoční",                              "NRF", ""

"cs-CZ", "", "2018-01-01", "Nový rok",                                       "NF",  ""
"cs-CZ", "", "2018-01-01", "Den obnovy samostatnosti českého státu",         "NF",  ""
"cs-CZ", "", "2018-04-02", "Velikonoční pondělí",                            "NRV", ""
"cs-CZ", "", "2018-05-01", "Svátek práce",                                   "NF",  ""
"cs-CZ", "", "2018-05-08", "Den vítězství",                                  "NF",  ""
"cs-CZ", "", "2018-07-05", "Den slovanských věrozvěstů",                     "NRF", ""
"cs-CZ", "", "2018-07-06", "Den upálení mistra Jana Husa",                   "NRF", ""
"cs-CZ", "", "2018-09-28", "Den české státnosti",                            "NRF", ""
"cs-CZ", "", "2018-10-28", "Den vzniku samostatného československého státu", "NF",  ""
"cs-CZ", "", "2018-11-17", "Den boje za svobodu a demokracii",               "NF",  ""
"cs-CZ", "", "2018-12-24", "Štědrý den",                                     "NRF", ""
"cs-CZ", "", "2018-12-25", "1. svátek vánoční",                              "NRF", ""
"cs-CZ", "", "2018-12-26", "2. svátek vánoční",                              "NRF", ""
