# Locale,  Region, Date,         Description,                         Type,  Notes.
  "pl-PL", "",     "2016-05-15", "Zielone Świątki",                   "NRV", ""
  "pl-PL", "",     "2016-05-26", "Boże Ciało",                        "NRV", ""
  "pl-PL", "",     "2016-08-15", "Święto Wojska Polskiego",           "NF",  ""
  "pl-PL", "",     "2016-08-15", "Wniebowzięcia NMP",                 "NRF", ""
  "pl-PL", "",     "2016-11-01", "Wszystkich Świętych",               "NRF", ""
  "pl-PL", "",     "2016-11-11", "Dzień Niepodległości",              "NF",  ""
  "pl-PL", "",     "2016-12-25", "Boże Narodzenie (pierwszy dzień)",  "NRF", ""
  "pl-PL", "",     "2016-12-26", "Boże Narodzenie (drugi dzień)",     "NRF", ""

  "pl-PL", "",     "2017-01-01", "Nowy Rok",                          "NF",  ""
  "pl-PL", "",     "2017-01-06", "Trzech Króli",                      "NRF", ""
  "pl-PL", "",     "2017-04-16", "Wielkanoc",                         "NRV", ""
  "pl-PL", "",     "2017-04-17", "Poniedziałek Wielkanocny",          "NRV", ""
  "pl-PL", "",     "2017-05-01", "Święto Pracy",                      "NF",  ""
  "pl-PL", "",     "2017-05-03", "Święto Konstytucji Trzeciego Maja", "NF",  ""
  "pl-PL", "",     "2017-06-04", "Zielone Świątki",                   "NRV", "Zesłanie Ducha Świętego"
  "pl-PL", "",     "2017-06-15", "Boże Ciało",                        "NRV", ""
  "pl-PL", "",     "2017-08-15", "Wniebowzięcie NMP",                 "NRF", "Święto Wojska Polskiego"
  "pl-PL", "",     "2017-11-01", "Wszystkich Świętych",               "NRF", ""
  "pl-PL", "",     "2017-11-11", "Święto Niepodległości",             "NF",  ""
  "pl-PL", "",     "2017-12-25", "Boże Narodzenie (pierwszy dzień)",  "NRF", ""
  "pl-PL", "",     "2017-12-26", "Boże Narodzenie (drugi dzień)",     "NRF", ""

  "pl-PL", "",     "2018-01-01", "Nowy Rok",                          "NF",  ""
  "pl-PL", "",     "2018-01-06", "Trzech Króli",                      "NRF", ""
  "pl-PL", "",     "2018-04-01", "Wielkanoc",                         "NRV", ""
  "pl-PL", "",     "2018-04-02", "Poniedziałek Wielkanocny",          "NRV", ""
  "pl-PL", "",     "2018-05-01", "Święto Pracy",                      "NF",  ""
  "pl-PL", "",     "2018-05-03", "Święto Konstytucji Trzeciego Maja", "NF",  ""
  "pl-PL", "",     "2018-05-20", "Zielone Świątki",                   "NRV", "Zesłanie Ducha Świętego"
  "pl-PL", "",     "2018-05-31", "Boże Ciało",                        "NRV", ""
  "pl-PL", "",     "2018-08-15", "Wniebowzięcie NMP",                 "NRF", "Święto Wojska Polskiego"
  "pl-PL", "",     "2018-11-01", "Wszystkich Świętych",               "NRF", ""
  "pl-PL", "",     "2018-11-11", "Święto Niepodległości",             "NF",  ""
  "pl-PL", "",     "2018-12-25", "Boże Narodzenie (pierwszy dzień)",  "NRF", ""
  "pl-PL", "",     "2018-12-26", "Boże Narodzenie (drugi dzień)",     "NRF", ""
