# Locale,  Region, Date,         Description,              Type, Notes.
  "lt-LT", "", "2018-02-16", "Lietuvos valstybės atkūrimo diena",        "NF",  ""
  "lt-LT", "", "2018-03-11", "Lietuvos nepriklausomybės atkūrimo diena", "NF",  ""
  "lt-LT", "", "2018-04-01", "Velykos",                                  "NRV", ""
  "lt-LT", "", "2018-04-02", "Velykos",                                  "NRV", ""
  "lt-LT", "", "2018-05-01", "Tarptautinė darbo diena",                  "NF",  ""
  "lt-LT", "", "2018-06-24", "Joninės, Rasos",                           "NF",  ""
  "lt-LT", "", "2018-07-06", "Valstybės diena",                          "NF",  ""
  "lt-LT", "", "2018-08-15", "Žolinė",                                   "NRF", ""
  "lt-LT", "", "2018-11-01", "Visų šventųjų diena",                      "NRF", ""
  "lt-LT", "", "2018-12-24", "Šv. Kalėdos",                              "NRF", ""
  "lt-LT", "", "2018-12-25", "Šv. Kalėdos",                              "NRF", ""
  "lt-LT", "", "2018-12-26", "Šv. Kalėdos",                              "NRF", ""
