# Locale,  Region, Date,         Description,              Type, Notes.
  "fi-FI", "",     "2015-05-24",  "Helluntaipäivä",        "NRV",  "" # Pentecost Sunday
  "fi-FI", "",     "2015-06-19",  "Juhannusaatto",         "NV",   "" # Midsummer Eve
  "fi-FI", "",     "2015-06-20",  "Juhannuspäivä",         "NV",   "" # Midsummer Day
  "fi-FI", "",     "2015-10-31",  "Pyhäinpäivä",           "NV",   "" # All Saints' Day
  "fi-FI", "",     "2015-12-06",  "Itsenäisyyspäivä",      "NF",   "" # Independence Day
  "fi-FI", "",     "2015-12-24",  "Jouluaatto",            "NRF",  "" # Christmas Eve
  "fi-FI", "",     "2015-12-25",  "Joulupäivä",            "NRF",  "" # Christmas Day
  "fi-FI", "",     "2015-12-26",  "2. joulupäivä",         "NRF",  "" # Second Christmas Day

  "fi-FI", "",     "2016-01-01",  "Uudenvuodenpäivä",	   "NF",   "" # New Year's Day
  "fi-FI", "",     "2016-01-06",  "Loppiainen",            "NRF",  "" # Epiphany
  "fi-FI", "",     "2016-03-25",  "Pitkäperjantai",        "NRV",  "" # Good Friday
  "fi-FI", "",     "2016-03-27",  "Pääsiäispäivä",         "NRV",  "" # Easter Sunday
  "fi-FI", "",     "2016-03-28",  "2. pääsiäispäivä",      "NRV",  "" # Easter Monday
  "fi-FI", "",     "2016-05-01",  "Vappu",                 "NF",   "" # May Day
  "fi-FI", "",     "2016-05-05",  "Helatorstai",           "NRV",  "" # Ascension Day
  "fi-FI", "",     "2016-05-15",  "Helluntaipäivä",        "NRV",  "" # Pentecost Sunday
  "fi-FI", "",     "2016-06-24",  "Juhannusaatto",         "NV",   "" # Midsummer Eve
  "fi-FI", "",     "2016-06-25",  "Juhannuspäivä",         "NV",   "" # Midsummer Day
  "fi-FI", "",     "2016-11-05",  "Pyhäinpäivä",           "NV",   "" # All Saints' Day
  "fi-FI", "",     "2016-12-06",  "Itsenäisyyspäivä",      "NF",   "" # Independence Day
  "fi-FI", "",     "2016-12-24",  "Jouluaatto",            "NRF",  "" # Christmas Eve
  "fi-FI", "",     "2016-12-25",  "Joulupäivä",            "NRF",  "" # Christmas Day
  "fi-FI", "",     "2016-12-26",  "2. joulupäivä",         "NRF",  "" # Second Christmas Day
